time,value
2025-09-16T08:57:31.015085513Z,"{""lat"":-37.64617823885782,""lon"":144.90688930510743}"
2025-09-16T08:57:32.009077265Z,"{""lat"":-37.64617823885782,""lon"":144.90688930510743}"
2025-09-16T08:57:33.348229638Z,"{""lat"":-37.64617823885782,""lon"":144.90688930510743}"
2025-09-16T08:57:34.347480504Z,"{""lat"":-37.646178118261986,""lon"":144.9068897311348}"
2025-09-16T08:57:35.347429216Z,"{""lat"":-37.646179143802065,""lon"":144.90688956846458}"
2025-09-16T08:57:36.364197766Z,"{""lat"":-37.64617919756826,""lon"":144.9068889189429}"
2025-09-16T08:57:37.349154198Z,"{""lat"":-37.64617977641498,""lon"":144.90688750149766}"
2025-09-16T08:57:38.348296876Z,"{""lat"":-37.64618017176885,""lon"":144.90688627252996}"
2025-09-16T08:57:39.350393265Z,"{""lat"":-37.64617950877391,""lon"":144.9068851501}"
2025-09-16T08:57:40.349336137Z,"{""lat"":-37.646179429814254,""lon"":144.90688423347578}"
2025-09-16T08:57:41.352429396Z,"{""lat"":-37.64617937755563,""lon"":144.90688066775476}"
2025-09-16T08:57:42.350300113Z,"{""lat"":-37.646180094640016,""lon"":144.9068781698063}"
2025-09-16T08:57:43.350269416Z,"{""lat"":-37.64618047585829,""lon"":144.90687822908973}"
2025-09-16T08:57:44.352341291Z,"{""lat"":-37.646180760381746,""lon"":144.90687775730458}"
2025-09-16T08:57:45.3513493Z,"{""lat"":-37.646183088033666,""lon"":144.90686784138617}"
2025-09-16T08:57:46.353905091Z,"{""lat"":-37.64618336019747,""lon"":144.90686305322856}"
2025-09-16T08:57:47.367538196Z,"{""lat"":-37.64618340294278,""lon"":144.90686285535602}"
2025-09-16T08:57:48.374062593Z,"{""lat"":-37.64618298044311,""lon"":144.9068597555686}"
2025-09-16T08:57:49.367335148Z,"{""lat"":-37.646183818512974,""lon"":144.90685440788656}"
2025-09-16T08:57:50.3725472Z,"{""lat"":-37.64618478738267,""lon"":144.90684822557733}"
2025-09-16T08:57:51.373106897Z,"{""lat"":-37.646189268534265,""lon"":144.90685258102374}"
2025-09-16T08:57:52.383382721Z,"{""lat"":-37.64618609905925,""lon"":144.90685438121866}"
2025-09-16T08:57:53.37150447Z,"{""lat"":-37.64618375468043,""lon"":144.9068610477931}"
2025-09-16T08:57:54.375416837Z,"{""lat"":-37.64618631037501,""lon"":144.90686660687402}"
2025-09-16T08:57:55.374313539Z,"{""lat"":-37.64618648250435,""lon"":144.90686951687778}"
